Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados Soriana,Precio Enlatados Soriana,Enlatados LaComer,Precio Enlatados LaComer
,Elote En Lata 220 Gr,9.0,Chiles Güeros Lol Tun Carricillos 350 gr,15.0,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.0,Granos De Elote Dorado,14.4
,Sopa Fideo 95 Gr,13.0,Chiles El Mexicano Jalapeños Enteros 780g,29.0,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5,Ensalada De Verduras,11.0
,Frijoles Refritos Bayos 400 Gr,13.5,Chiles El Mexicano Jalapeños Enteros 340g,16.0,Sardina En Salsa De Tomate Dolores Lata 120G,21.5,Garbanzo En Salmuera,17.5
,Atun Jumbo En Agua 295 Gr,40.0,Chiles El Mexicano Chipotle Adobado 380g,30.0,Ensalada Tuny Atun S/Mayonesa Lat 135Gr,15.9,Chicharos Con Zanahorias,7.9
,Atun Pouch Agua 74 Gr,21.5,Chiles El Mexicano Chipotle Adobado 215g,18.0,Atún Herdez En Agua 85 Gr,15.0,Chicharos,11.17
,Atun En Agua 130 Gr,20.0,Chiles Nachos Jalapeños La Costeña Rodajas 380g,19.5,Tamal Verde La Costeña 110 Gr,11.1,Chicharos,7.25
,Atun Agua 295 Gr,41.0,Chiles Jalapeños La Costeña Picados 220g,12.8,Atun Atun Agua Marina Azul 130 Gramo Lata,15.0,Champiñones En Escabeche,37.4
,Frijoles Refritos Negros 400 Gr,15.9,Jalapeños Nachos La Morena  210g,8.9,Ensalada De Atún Dolores Cupcan 135G,16.9,Ensalada Campesina,6.5
,Atun Pouch Agua 78 Gr,20.5,Chiles Nachos Jalapeños La Costeña Rodajas 800g,31.5,Sardinas Ponto En Aceite 120 Gr,22.5,Chicharos,7.5
,Atun En Agua Pouch 74 Gr,16.0,Chiles Nachos Jalapeños La Costeña Rodajas 220g,11.5,Ensalada De Atún Primavera Tuny Sin Mayonesa 110 Gr,15.9,Chicharos Y Zanahorias,13.3
,Elote En Lata 400 Gr,15.0,Chiles Jalapeños La Costeña Picados 380g,23.9,Salmón En Agua Tuny Light 75 Gr,22.1,Champiñones En Trocitos,15.45
,Frijoles Bayos Refritos 430 Gr,15.5,Rajas San Marcos Verdes 380g,15.0,Chata Chilorio De Cerdo Pouch 215Gr,62.0,Ensalada Campesina,11.0
