Unnamed: 0,Carnes HBE,Precio Carnes HBE,Carnes Soriana,Precio Carnes Soriana,Carnes Chedraui,Precio Carnes Chedraui,Carnes LaComer,Precio Carnes LaComer
,Milanesa De Pulpa Bola 1 Kg,215.0,Cuero Cerdo Kg,46.9,Pulpa De Cerdo Kg,88.0,Molida Selecta 80/20 Res Selecta,159.9
,Pierna Bate Blanca 1 Kg,72.0,Pulpa Trozo /Espaldilla De Cerdo 1 Kg,84.9,Bistec De Res Kg,159.0,Fajita De Centro Res Selecta,198.0
,Arrachera De Res Marinada 600 Gr,164.0,Chuleta Adobada Rebanada 1 Kg,69.9,Costilla De Cerdo Kg,122.0,Chambarete Sin Hueso Res Selecta,155.0
,Top Sirloin 1 Kg,205.0,Milanesa Lomo Cerdo Empanizada,59.9,Chambarete Con Hueso De Res Kg,124.0,Bistec De Diezmillo Res Selecta,170.4
,Milanesa De Pechuga Aplanada Charola 1 Kg,165.0,Pierna De  Pollo C/Muslo 1 Pz Kg,19.9,Pechuga De Pollo Con Hueso Light  Por Kg,114.0,Chambarete Con Hueso Res Selecta,104.9
,Pierna Bate S/Piel Empacado 1 Kg,83.0,Pollo Entero C/V Bachoco Kg,41.0,Huevo San Juan Blanco 18 Piezas,43.5,Bistec De Aguayon Res Selecta,198.0
,Milanesa De Sirloin De Res 1 Kg,215.0,Muslo D/Pollo S/Rabad Pilgrim S  Char Kg,71.0,Arrachera Sukarne De Res 600G,162.0,Carne Para Asar Res Selecta,175.0
,Carne De Cerdo Tipo Trompo 500 Gr,62.0,Pierna C/Muslo C/Rab Cong,19.9,Huevo Bachoco Blanco 18 Piezas,45.0,Tampiqueña De Filete Res Selecta,459.0
,Sirloin C/H Para Asar 1 Kg,184.0,Pie Bat D/Pollo Pilgrim S Pride Char Kg,73.9,Chuleta De Cerdo Natural Kg,90.0,Molida Mixta Res Mixto,125.0
,Milanesa De Pulpa Negra Junior 1 Kg,246.0,Pollo Entero C/V Pilgrim S Pride Kg,42.9,Molida Mixta Res Con Cerdo Por Kg,134.0,Medallon De Filete Res Selecta,459.0
,Aguja Norteña C/H De Res 1 Kg,195.0,Pollo Entero S/V Congelado 1 Pz Kg,41.9,Pechuga De Pollo Con Hueso Anatómico Fresco Por Kg,90.0,Milanesa De Contra Res Selecta,176.6
,Fajita De Pechuga Natural 500 Gr,82.0,Pechuga De Pollo C/Hueso Bachoco Char Kg,97.5,Huevos Blancos Tehuacan 30 Piezas,63.0,Bistec Ranchero Res Selecta,176.6
,Barrita Surimi Prev. Congelado 500 Gr,74.0,Milanesa De Pollo Bachoco Char,48.9,Pierna De Cerdo Congelada Sin Hueso Por Kg,66.0,Pulpa Para Estofado Res Selecta,171.0
,Chicharron Casero 70 Grs.,16.0,Pechuga De Pollo Sin Piel 1 Pz Kg,19.9,Codillo Chamorro De Cerdo Por Kg,62.0,Rib Eye Res Selecta,335.0
,Filete De Bacalao Desmigado S/Piel Bolsa 454 Gr,153.0,Pechuga C/Hueso S/Rabadilla Fresca Kg,99.9,Carne Molida De Pierna De Cerdo Por Kg,94.0,Pulpa Fina Res Selecta,171.0
,Salmon Ahumado Rebanado 113 Gr,117.0,Milanesa De Pollo Natural Alco Char,86.5,Lomo De Cerdo Por Kg,109.0,Molida Ternera Selecta,261.0
